nullpo,date,rnd,time,week,
holiday,,,,,
year,month,day,hour,minute,
second,,,,,
systemyear,systemmonth,systemday,systemhour,systemminute,
systemsecond,systemweek,systemmillisecond,,,
mode,,,,,
,,,,,
mousex,mousey,trig1,trig2,trig3,
click1,click2,click3,wheel,,
listenbgmmode,listenbgmnumber,,,,
expmode1,expmode2,expmode3,expmode4,expmode5,
expcheck1,expcheck2,expcheck3,expcheck4,expcheck5,
,,,,,
direct3d,pixelshader,vertexshader,,,
,,,,,
cgpercent,scenepercent,,,,
,,,,,
answer,launch,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,おまけメニュー拡張,,音声テスト変数,,
アイテム登場フラグ１,アイテム登場フラグ２,ミニゲームオープン１,烈風個数,磯風個数,
ねこ個数,ダミー個数,,ショップ新規フラグ１,,
ゲーム内ポイント,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
汎用選択番号,汎用選択種類,汎用追加選択番号,,一致した,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
所持品変数やかん,所持品変数たらい,所持品変数バナナ,所持品変数りんご,所持品変数りんご２,
所持品変数りんご３,所持品変数りんご４,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
好感度その１,好感度その２,好感度その３,好感度その４,好感度その５,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
図書館登場,図書館行ける,保健室登場,保健室行ける,食堂登場,
食堂行ける,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
ほむら居場所,吹雪居場所,ねこ居場所,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
所持ギル,パーティメンバーその１,パーティメンバーその２,パーティメンバーその３,ほのかＨＰ,
ほのかＨＰＭＡＸ,ほのかＭＰ,かすみＨＰ,かすみＨＰＭＡＸ,かすみＭＰ,
さとみＨＰ,さとみＨＰＭＡＸ,さとみＭＰ,ねここＨＰ,ねここＨＰＭＡＸ,
ねここＭＰ,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
